,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
16,10,1,3,0,1,4,2,1,3,106,83
17,83,1,0,0,1,0,1,1,0,106,85
18,85,1,1,0,0,3,1,1,2,83,168
19,106,1,2,0,1,4,4,0,2,83,85
20,168,1,2,0,2,3,0,0,2,189,106
21,189,1,5,0,3,2,0,0,3,83,106
22,20,1,1,1,0,3,4,1,2,40,40
24,76,1,0,1,0,3,3,1,0,150,150
25,150,1,4,1,2,3,1,0,3,20,40
26,165,1,0,1,3,2,3,0,2,150,40
50,75,4,0,0,3,4,2,1,3,90,63
52,90,4,0,0,2,1,2,1,0,172,172
59,172,4,5,0,3,0,4,1,3,75,159
97,4,7,2,0,0,1,0,0,1,97,97
98,19,7,3,0,3,3,4,1,3,4,42
99,33,7,5,0,3,1,2,1,4,42,4
100,35,7,2,0,2,3,1,1,4,141,199
102,89,7,2,0,0,1,2,0,0,35,4
104,141,7,3,0,0,1,0,0,4,4,4
105,199,7,4,0,1,4,2,0,1,89,35
106,1,7,3,1,3,2,2,1,4,38,68
108,54,7,1,1,0,3,3,1,4,38,38
109,66,7,0,1,2,1,0,0,2,68,68
110,68,7,2,1,2,3,2,1,2,38,38
197,124,14,3,1,2,2,2,0,2,182,182
198,127,14,3,1,2,1,0,1,4,182,182
