id,city_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
6,0,0,0,0,0,0,0,2,151,116
7,0,1,0,1,0,1,0,1,109,6
9,0,2,0,2,1,2,1,2,164,226
27,0,2,0,0,2,2,0,2,195,195
29,0,3,0,2,0,3,1,3,165,164
35,0,4,0,1,1,0,0,2,70,70
42,0,2,0,3,3,2,1,1,116,253
57,0,3,0,0,0,3,0,1,164,106
70,0,5,0,2,0,4,1,1,228,6
106,0,4,0,0,3,1,0,0,70,6
109,0,5,0,1,4,4,0,1,295,164
116,0,3,0,0,0,2,1,2,214,6
123,0,5,0,1,3,1,0,4,164,7
134,0,0,0,2,0,3,0,3,195,164
151,0,5,0,3,2,2,1,3,195,202
157,0,0,0,3,3,0,0,3,191,295
164,0,1,0,0,3,3,0,0,151,253
165,0,4,0,1,1,4,0,1,151,123
166,0,1,0,3,1,1,1,4,295,164
191,0,2,0,3,3,1,0,0,295,151
195,0,1,0,1,0,2,1,3,29,191
202,0,0,0,2,1,4,0,0,165,257
214,0,4,0,2,1,4,1,0,164,70
226,0,4,0,2,4,3,0,3,151,109
228,0,0,0,3,1,4,1,3,134,295
236,0,5,0,1,3,4,0,2,123,57
244,0,1,0,3,0,4,0,3,7,134
250,0,1,0,1,2,0,1,1,116,166
253,0,4,0,1,4,1,0,1,166,42
257,0,3,0,2,1,1,0,4,253,151
273,0,5,0,2,4,2,0,1,257,6
295,0,2,0,0,0,3,0,3,70,253
11,0,0,1,1,2,4,0,1,11,245
12,0,2,1,3,1,0,0,1,22,76
13,0,4,1,0,0,1,1,3,91,217
22,0,2,1,0,1,4,1,4,143,152
32,0,3,1,0,3,2,1,3,184,177
33,0,2,1,2,3,1,1,1,217,46
39,0,5,1,2,4,1,1,4,122,210
46,0,5,1,2,0,2,0,3,13,245
62,0,5,1,0,4,4,1,3,271,217
74,0,1,1,3,3,3,1,3,235,217
76,0,4,1,0,2,2,1,2,210,174
87,0,5,1,1,2,1,0,4,245,130
89,0,3,1,2,0,3,0,0,89,235
91,0,1,1,3,2,3,0,3,184,252
92,0,2,1,3,2,3,1,3,245,267
119,0,5,1,2,2,0,1,3,76,92
122,0,2,1,3,3,4,0,3,119,174
129,0,1,1,0,1,0,1,2,143,92
130,0,2,1,1,4,4,0,1,92,122
133,0,1,1,1,2,0,1,4,148,229
139,0,2,1,0,3,0,1,0,267,267
143,0,1,1,2,2,4,0,1,129,122
148,0,2,1,0,1,0,1,2,267,210
152,0,0,1,3,4,4,1,3,152,154
154,0,1,1,2,4,4,1,3,33,205
171,0,2,1,2,1,2,0,1,87,22
174,0,0,1,3,4,4,1,3,11,205
177,0,2,1,3,1,1,1,4,76,271
184,0,3,1,1,4,1,0,0,184,148
205,0,0,1,1,1,2,1,0,184,62
210,0,0,1,1,2,0,1,1,122,143
217,0,4,1,0,1,4,0,4,119,13
229,0,1,1,1,4,0,1,3,139,129
235,0,3,1,3,3,0,0,0,210,91
245,0,5,1,0,0,0,0,3,91,22
252,0,2,1,3,0,4,0,2,91,177
267,0,1,1,3,1,4,0,1,235,217
271,0,0,1,3,3,4,0,3,148,139
20,1,4,0,2,0,3,0,1,239,141
21,1,2,0,0,1,2,1,1,20,280
23,1,4,0,0,0,4,0,1,283,282
30,1,0,0,2,0,0,1,3,71,170
53,1,5,0,0,0,2,0,0,23,233
71,1,0,0,3,2,4,1,4,82,283
82,1,4,0,2,3,0,0,0,282,30
140,1,2,0,0,1,2,0,0,282,82
141,1,4,0,3,0,2,0,4,71,282
160,1,1,0,0,2,1,1,0,204,239
170,1,4,0,1,1,1,0,3,141,233
173,1,3,0,3,0,2,0,3,23,233
186,1,2,0,0,1,2,1,4,204,141
204,1,3,0,2,1,0,0,2,141,204
218,1,0,0,1,3,1,1,3,82,82
233,1,2,0,1,2,3,1,0,283,173
237,1,3,0,0,2,2,0,2,141,21
238,1,5,0,0,4,2,0,3,282,23
239,1,0,0,0,1,1,1,2,204,23
270,1,2,0,1,0,3,1,2,71,186
272,1,1,0,3,2,4,0,1,53,20
280,1,5,0,0,3,3,1,0,21,71
281,1,5,0,2,4,2,1,2,270,296
282,1,4,0,1,3,2,0,1,272,30
283,1,1,0,2,2,2,0,3,160,53
296,1,5,0,1,0,3,1,0,204,283
19,1,2,1,0,3,2,1,4,137,183
31,1,5,1,2,1,4,1,3,201,56
34,1,0,1,3,0,0,1,3,104,63
44,1,5,1,0,4,3,0,1,63,188
47,1,2,1,0,2,1,1,1,63,96
54,1,0,1,1,1,4,0,1,189,112
55,1,3,1,2,3,4,0,3,34,104
56,1,0,1,3,3,4,1,3,54,249
59,1,3,1,3,3,3,1,2,162,114
63,1,0,1,0,1,4,0,3,96,201
79,1,4,1,2,4,0,1,0,47,44
96,1,3,1,2,1,0,1,2,96,158
101,1,5,1,2,3,0,0,1,234,183
104,1,2,1,0,4,3,0,3,101,96
112,1,4,1,3,4,1,1,1,198,19
114,1,4,1,2,4,3,1,0,183,201
124,1,1,1,1,0,1,1,2,288,104
137,1,0,1,2,0,4,0,3,183,234
158,1,5,1,1,3,4,0,4,183,59
162,1,4,1,3,4,3,0,2,259,112
183,1,5,1,3,2,4,0,2,114,112
188,1,2,1,1,1,2,1,4,201,31
189,1,5,1,2,3,2,1,1,79,259
198,1,1,1,1,3,2,1,4,31,19
201,1,5,1,3,4,1,1,1,234,162
234,1,5,1,0,3,3,0,2,234,101
249,1,5,1,3,0,1,1,2,234,288
259,1,2,1,0,3,4,0,2,259,101
288,1,4,1,1,3,1,0,4,162,183
2,2,3,0,1,1,2,0,0,268,51
3,2,1,0,3,1,0,0,4,268,290
10,2,5,0,0,2,3,1,0,220,290
36,2,4,0,2,2,4,0,2,3,268
48,2,5,0,2,3,3,0,4,88,69
