,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
53,53,0,0,0,0,0,0,0,2,191,191
63,63,0,1,0,1,1,0,1,0,196,53
116,116,0,2,0,0,2,1,1,2,244,196
191,191,0,0,0,0,1,2,0,4,289,244
196,196,0,3,0,2,3,3,1,0,244,116
232,232,0,1,0,0,3,3,0,2,196,196
244,244,0,0,0,2,1,1,1,2,289,116
255,255,0,3,0,2,0,2,1,4,244,196
289,289,0,4,0,2,0,0,0,0,196,191
24,24,0,1,1,3,0,2,0,2,256,256
32,32,0,4,1,0,0,0,0,2,95,189
95,95,0,4,1,0,2,2,1,2,256,149
123,123,0,0,1,0,0,3,0,2,189,136
136,136,0,1,1,2,3,0,0,3,149,162
149,149,0,5,1,1,2,4,1,2,259,123
162,162,0,0,1,3,0,4,1,1,95,136
189,189,0,3,1,2,2,1,0,2,149,95
235,235,0,0,1,1,0,1,0,2,95,287
256,256,0,5,1,2,2,0,0,2,189,136
259,259,0,1,1,1,1,0,0,3,256,256
287,287,0,0,1,3,0,4,0,1,299,189
299,299,0,0,1,2,1,0,1,1,256,95
78,78,1,0,0,1,0,4,0,0,104,104
104,104,1,0,0,0,4,1,0,4,141,222
113,113,1,1,0,1,0,2,0,4,78,141
141,141,1,0,0,2,4,2,0,0,178,78
156,156,1,4,0,1,1,0,1,0,104,113
178,178,1,1,0,0,0,3,0,0,113,216
216,216,1,3,0,1,2,0,0,1,156,141
222,222,1,5,0,3,2,2,0,0,104,104
0,0,1,2,1,3,0,3,1,1,158,75
15,15,1,2,1,3,0,1,0,3,221,221
54,54,1,2,1,3,4,1,0,2,15,15
75,75,1,0,1,3,4,0,1,2,54,158
135,135,1,4,1,3,2,4,0,4,221,221
158,158,1,5,1,2,1,4,0,0,221,135
176,176,1,3,1,2,0,1,1,2,15,15
208,208,1,1,1,1,2,2,0,2,236,135
221,221,1,3,1,3,3,2,0,0,135,135
236,236,1,1,1,3,0,0,1,3,0,75
10,10,2,3,0,2,1,3,0,4,249,111
27,27,2,4,0,2,4,3,1,0,283,107
107,107,2,1,0,0,1,4,1,3,282,249
111,111,2,0,0,1,1,4,1,1,283,249
134,134,2,4,0,1,3,1,1,2,249,282
171,171,2,3,0,2,1,2,0,2,134,283
199,199,2,1,0,0,1,4,1,0,283,249
249,249,2,1,0,0,4,4,0,3,282,283
267,267,2,3,0,0,3,4,1,1,171,199
277,277,2,5,0,2,0,2,1,0,282,283
282,282,2,4,0,1,2,1,1,0,107,199
283,283,2,4,0,0,3,2,1,0,134,171
82,82,2,2,1,2,2,0,1,3,163,85
85,85,2,0,1,3,3,2,0,3,82,82
163,163,2,3,1,2,2,3,1,4,85,85
165,165,2,4,1,3,4,4,0,4,82,85
271,271,2,3,1,3,0,3,1,1,165,165
23,23,3,0,0,2,2,1,0,3,147,152
101,101,3,2,0,0,2,0,1,2,103,129
103,103,3,1,0,1,2,1,1,3,152,23
118,118,3,4,0,2,4,0,0,4,247,129
129,129,3,0,0,0,3,4,0,4,147,245
147,147,3,5,0,0,2,4,0,0,23,101
152,152,3,5,0,1,0,0,0,0,103,101
159,159,3,0,0,1,2,1,0,2,103,103
245,245,3,2,0,1,4,1,0,4,101,147
247,247,3,0,0,0,0,1,1,4,103,147
291,291,3,2,0,1,4,0,1,1,103,103
145,145,3,1,1,0,1,0,0,1,195,246
161,161,3,2,1,0,4,2,0,0,195,257
195,195,3,2,1,1,4,0,1,2,145,145
246,246,3,2,1,3,1,4,0,1,161,257
257,257,3,3,1,0,4,1,0,0,161,161
284,284,3,3,1,2,0,0,1,4,161,257
6,6,4,4,0,3,3,1,1,2,279,237
84,84,4,4,0,0,3,1,1,3,86,180
86,86,4,0,0,0,4,3,1,4,279,183
120,120,4,2,0,2,4,1,0,0,128,226
128,128,4,3,0,2,4,2,1,1,6,224
180,180,4,2,0,3,0,1,1,1,224,237
183,183,4,3,0,1,1,0,0,0,6,226
209,209,4,4,0,1,2,4,0,4,120,180
224,224,4,2,0,2,4,1,0,0,209,86
226,226,4,3,0,0,0,4,0,3,279,183
237,237,4,0,0,1,2,3,1,0,6,6
279,279,4,0,0,3,4,1,0,3,86,84
14,14,4,1,1,2,2,0,0,4,203,230
38,38,4,2,1,1,2,0,0,4,230,93
50,50,4,2,1,2,4,2,1,2,203,203
93,93,4,3,1,3,2,0,0,3,50,230
109,109,4,4,1,3,2,4,0,0,203,93
112,112,4,4,1,1,2,3,0,1,119,203
114,114,4,5,1,3,3,4,1,3,109,197
119,119,4,1,1,1,2,2,1,2,297,297
140,140,4,5,1,1,2,2,1,1,217,203
197,197,4,4,1,1,4,2,0,0,112,93
203,203,4,3,1,3,1,3,1,2,109,114
217,217,4,0,1,0,4,3,0,2,297,50
230,230,4,4,1,0,3,0,1,4,50,38
273,273,4,3,1,0,4,1,1,4,203,119
297,297,4,3,1,2,1,3,1,3,50,112
100,100,5,5,0,2,0,2,1,1,269,268
150,150,5,2,0,1,2,2,1,4,157,153
153,153,5,1,0,1,1,1,0,3,150,268
157,157,5,3,0,2,1,3,0,2,269,153
268,268,5,1,0,0,0,0,0,1,269,269
269,269,5,0,0,3,4,3,0,3,150,153
1,1,5,3,1,3,0,1,0,1,18,207
5,5,5,4,1,2,4,4,1,3,76,207
7,7,5,4,1,1,0,4,1,2,74,47
18,18,5,1,1,1,1,4,1,3,212,7
47,47,5,5,1,0,3,1,0,3,71,7
71,71,5,5,1,3,3,2,0,0,207,219
74,74,5,0,1,3,2,1,1,0,1,212
76,76,5,1,1,2,3,0,1,2,207,74
130,130,5,1,1,0,3,0,1,0,212,212
146,146,5,4,1,3,2,1,0,2,74,7
151,151,5,3,1,1,4,1,0,2,47,5
207,207,5,2,1,0,3,3,0,1,71,212
212,212,5,2,1,3,4,3,1,2,146,207
219,219,5,0,1,2,4,4,0,4,71,1
65,65,6,0,0,0,1,2,1,2,194,188
72,72,6,5,0,2,0,1,0,0,194,194
99,99,6,5,0,0,3,4,1,4,188,194
170,170,6,0,0,1,2,1,0,2,99,172
172,172,6,1,0,2,4,0,1,4,188,184
184,184,6,1,0,1,4,2,1,1,254,188
188,188,6,0,0,0,4,4,1,2,172,99
194,194,6,0,0,3,4,4,0,4,254,188
254,254,6,1,0,2,3,1,0,2,194,194
131,131,6,0,1,2,2,3,1,2,205,239
143,143,6,0,1,3,1,2,0,4,131,205
154,154,6,2,1,1,1,4,1,1,143,239
205,205,6,2,1,0,1,1,0,1,143,143
239,239,6,5,1,2,2,1,0,2,205,294
294,294,6,2,1,0,1,3,1,1,143,143
2,2,7,0,0,0,2,0,1,2,51,83
17,17,7,0,0,1,4,2,1,1,155,51
48,48,7,1,0,0,0,2,1,2,83,51
51,51,7,5,0,2,4,3,1,1,83,155
57,57,7,3,0,3,0,1,0,4,83,83
67,67,7,2,0,2,2,2,1,2,2,83
83,83,7,3,0,1,1,3,1,3,2,2
155,155,7,5,0,1,1,3,0,2,83,48
200,200,7,5,0,0,3,3,1,1,83,155
266,266,7,4,0,3,0,3,0,4,17,67
80,80,7,2,1,2,0,4,1,2,91,288
91,91,7,2,1,3,3,0,0,2,223,223
121,121,7,3,1,1,0,1,0,0,223,223
215,215,7,3,1,3,1,3,0,3,91,91
223,223,7,4,1,1,4,1,0,1,80,121
243,243,7,2,1,2,4,0,1,1,223,215
288,288,7,5,1,3,4,3,1,4,223,121
4,4,8,1,0,2,0,4,1,2,238,46
43,43,8,0,0,3,4,3,0,3,96,94
46,46,8,3,0,1,4,2,0,1,94,238
94,94,8,0,0,3,4,3,1,0,46,293
96,96,8,3,0,2,2,4,1,3,94,238
133,133,8,2,0,3,2,4,1,3,264,293
213,213,8,5,0,3,0,3,1,0,281,238
238,238,8,0,0,2,1,0,1,3,4,46
264,264,8,5,0,0,0,0,1,2,96,43
281,281,8,0,0,3,2,2,0,1,46,213
293,293,8,4,0,0,0,1,0,3,238,46
12,12,8,1,1,1,4,1,0,3,234,66
39,39,8,4,1,1,4,3,1,0,125,292
61,61,8,1,1,3,0,1,0,2,108,292
66,66,8,4,1,3,1,0,1,1,292,12
105,105,8,2,1,2,3,0,0,1,234,124
108,108,8,3,1,2,2,0,1,3,285,125
124,124,8,2,1,1,0,3,0,1,108,108
125,125,8,3,1,3,3,2,1,2,105,124
192,192,8,5,1,1,2,4,0,1,234,108
234,234,8,0,1,0,1,2,0,0,272,105
272,272,8,2,1,1,0,3,1,4,292,234
285,285,8,3,1,2,4,2,1,4,105,39
292,292,8,4,1,3,4,2,0,2,66,105
3,3,9,4,0,3,1,1,1,3,37,64
11,11,9,0,0,2,1,1,0,1,174,174
19,19,9,2,0,0,0,1,0,0,60,81
37,37,9,4,0,1,4,3,0,1,19,60
49,49,9,5,0,3,0,1,0,4,64,89
59,59,9,4,0,1,3,0,0,3,11,166
60,60,9,3,0,1,3,4,1,1,11,81
64,64,9,4,0,0,0,0,0,1,174,174
81,81,9,5,0,1,3,4,1,0,174,166
89,89,9,0,0,3,1,0,0,4,60,60
166,166,9,3,0,2,1,3,1,4,37,186
174,174,9,0,0,1,1,3,0,1,186,64
186,186,9,0,0,2,3,2,0,2,64,166
193,193,9,4,0,2,1,3,1,1,174,174
201,201,9,4,0,0,1,2,0,1,19,37
204,204,9,3,0,3,2,3,1,4,201,166
8,8,9,1,1,1,0,2,1,3,167,167
34,34,9,0,1,1,1,4,1,3,58,167
36,36,9,5,1,1,2,3,1,0,58,167
58,58,9,1,1,3,2,0,0,3,167,167
97,97,9,3,1,2,2,3,0,4,58,8
167,167,9,0,1,1,1,4,0,4,260,8
260,260,9,2,1,1,2,4,0,0,58,8
42,42,10,3,0,0,4,2,0,0,79,276
79,79,10,5,0,3,1,3,1,4,276,276
122,122,10,1,0,3,3,4,1,4,276,218
179,179,10,5,0,1,1,2,0,4,276,276
210,210,10,1,0,0,4,0,0,1,263,122
218,218,10,0,0,0,1,4,0,4,122,276
263,263,10,2,0,0,2,4,1,4,42,79
276,276,10,0,0,0,4,3,0,0,218,263
68,68,10,4,1,1,3,2,0,3,185,252
73,73,10,3,1,3,0,0,1,0,252,252
127,127,10,1,1,2,4,3,0,2,185,68
175,175,10,4,1,2,2,3,0,4,240,127
185,185,10,4,1,1,4,2,0,2,242,252
240,240,10,1,1,0,1,3,0,4,242,185
242,242,10,2,1,0,1,1,1,0,240,185
252,252,10,2,1,1,3,3,1,4,68,127
286,286,10,3,1,2,0,3,1,4,73,185
21,21,11,5,0,1,1,2,1,4,229,182
52,52,11,4,0,2,4,2,1,4,21,251
77,77,11,3,0,1,0,4,0,1,251,229
102,102,11,1,0,0,0,0,0,0,280,126
126,126,11,4,0,1,2,2,0,0,229,229
177,177,11,0,0,2,1,4,1,3,126,21
182,182,11,3,0,2,4,4,0,2,21,126
214,214,11,5,0,0,3,0,0,2,177,265
229,229,11,4,0,1,0,2,1,1,214,280
250,250,11,0,0,1,2,2,1,3,52,265
251,251,11,2,0,2,0,3,1,0,229,52
265,265,11,3,0,0,1,0,0,4,229,182
280,280,11,4,0,0,4,4,1,2,102,229
296,296,11,2,0,2,4,1,1,2,126,265
33,33,11,3,1,2,3,2,1,0,138,138
41,41,11,5,1,2,4,0,0,4,258,138
98,98,11,2,1,1,1,2,0,2,138,33
110,110,11,5,1,2,3,1,1,2,164,41
138,138,11,5,1,1,4,2,1,3,190,98
142,142,11,5,1,1,4,2,1,0,160,138
160,160,11,5,1,3,2,2,1,2,138,164
164,164,11,1,1,2,2,1,0,4,138,138
190,190,11,3,1,0,2,4,0,4,164,33
258,258,11,4,1,1,3,3,1,2,138,142
20,20,12,3,0,1,3,4,1,4,56,88
26,26,12,0,0,1,2,4,0,2,56,148
29,29,12,5,0,3,3,1,0,4,274,26
56,56,12,1,0,0,3,3,1,0,88,202
88,88,12,1,0,3,1,3,1,3,26,56
92,92,12,0,0,1,0,2,0,4,88,148
132,132,12,1,0,1,4,3,0,3,88,148
148,148,12,4,0,2,1,1,1,3,202,26
202,202,12,2,0,3,4,2,1,2,132,88
