,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
60,60,0,0,0,0,0,0,0,1,64,60
64,64,0,1,0,1,1,1,1,3,60,60
66,66,0,2,0,1,2,1,0,3,60,60
29,29,0,1,1,2,3,1,0,4,142,29
96,96,0,3,1,2,2,1,0,0,142,142
120,120,0,4,1,1,0,1,0,3,120,29
142,142,0,0,1,0,1,2,0,4,120,120
16,16,1,0,0,2,3,3,1,2,22,16
22,22,1,5,0,2,4,0,0,4,95,71
24,24,1,5,0,2,4,3,0,4,24,22
71,71,1,2,0,3,4,2,1,4,22,22
84,84,1,3,0,2,1,1,1,4,71,95
95,95,1,1,0,3,2,3,0,3,71,71
131,131,1,5,0,0,0,3,1,4,71,24
69,69,1,0,1,3,1,4,1,1,138,69
138,138,1,5,1,0,0,0,1,4,69,138
13,13,2,1,0,3,4,1,0,4,101,128
70,70,2,5,0,0,1,3,0,3,128,128
101,101,2,1,0,3,4,3,1,2,13,101
102,102,2,1,0,1,3,1,0,2,128,101
128,128,2,0,0,2,1,3,0,2,128,146
146,146,2,0,0,3,1,2,1,3,128,128
10,10,2,2,1,0,0,1,1,0,68,46
19,19,2,2,1,2,1,0,1,1,68,99
30,30,2,3,1,2,0,0,1,2,99,30
46,46,2,5,1,0,4,4,0,4,62,99
62,62,2,3,1,3,4,2,1,3,30,68
68,68,2,3,1,0,1,4,1,2,10,68
99,99,2,4,1,1,0,2,1,3,46,10
136,136,3,2,0,1,4,0,0,2,136,145
144,144,3,0,0,0,3,3,1,3,136,145
145,145,3,0,0,0,3,4,0,0,136,145
105,105,3,5,1,1,0,2,1,0,139,139
107,107,3,5,1,2,2,3,1,1,139,139
111,111,3,0,1,3,1,1,0,3,139,105
139,139,3,0,1,3,1,4,0,3,139,111
1,1,4,4,0,1,4,2,1,0,20,1
20,20,4,3,0,3,2,3,0,2,20,77
55,55,4,0,0,3,4,1,1,3,118,134
77,77,4,0,0,2,4,3,0,4,1,134
118,118,4,5,0,1,0,1,0,0,1,55
134,134,4,2,0,3,1,4,1,4,118,118
8,8,4,4,1,2,1,2,1,3,88,88
56,56,4,3,1,1,0,3,0,0,56,88
79,79,4,3,1,2,4,2,0,4,79,127
88,88,4,2,1,0,2,0,1,3,88,127
127,127,4,4,1,2,2,0,1,3,79,88
9,9,5,3,0,3,4,2,1,2,83,83
52,52,5,0,0,1,2,3,1,3,85,135
83,83,5,5,0,3,0,0,1,1,85,135
85,85,5,5,0,0,2,1,1,3,85,85
135,135,5,4,0,1,3,3,1,0,83,141
137,137,5,4,0,2,3,2,1,2,52,85
141,141,5,5,0,1,1,2,1,0,83,85
81,81,5,2,1,3,3,0,1,2,103,81
91,91,5,3,1,1,2,1,1,2,103,103
93,93,5,5,1,3,1,0,1,0,91,103
100,100,5,5,1,3,0,2,0,1,81,91
103,103,5,0,1,2,1,1,1,2,81,147
147,147,5,3,1,3,2,3,0,2,103,81
49,49,6,1,0,3,3,2,0,2,109,49
89,89,6,3,0,0,4,3,0,2,109,89
109,109,6,0,0,0,1,4,1,2,109,109
42,42,6,1,1,1,0,4,0,1,112,110
110,110,6,5,1,0,2,4,1,0,110,42
112,112,6,0,1,3,0,1,0,3,42,112
3,3,7,4,0,2,2,3,1,4,92,54
44,44,7,0,0,1,2,2,1,2,92,3
54,54,7,5,0,3,0,4,0,4,92,122
92,92,7,1,0,2,2,4,0,4,133,133
122,122,7,3,0,2,1,2,0,4,122,133
133,133,7,4,0,1,2,3,0,1,92,122
27,27,7,2,1,2,1,3,1,3,37,114
37,37,7,1,1,1,3,0,0,3,129,129
98,98,7,4,1,2,1,0,0,0,98,129
114,114,7,0,1,0,2,0,1,0,129,27
129,129,7,5,1,0,0,1,1,2,27,129
12,12,8,4,0,3,4,3,0,0,34,34
14,14,8,4,0,0,0,3,1,3,45,34
17,17,8,0,0,3,2,3,0,0,34,45
34,34,8,3,0,1,0,1,0,0,17,34
39,39,8,3,0,0,0,3,1,4,34,45
45,45,8,3,0,1,3,1,1,1,12,12
4,4,8,0,1,1,3,0,0,2,72,87
32,32,8,3,1,3,4,0,0,3,41,121
41,41,8,1,1,3,3,2,0,1,121,72
58,58,8,4,1,2,4,4,1,0,72,87
72,72,8,0,1,2,1,4,1,2,72,4
87,87,8,1,1,3,0,1,1,2,121,72
121,121,8,1,1,2,1,1,0,1,32,72
148,148,8,0,1,2,4,2,1,3,121,121
15,15,9,5,0,1,2,4,0,3,82,140
21,21,9,2,0,2,4,0,0,1,48,113
48,48,9,5,0,0,1,1,1,2,76,82
76,76,9,2,0,2,2,2,0,0,140,76
82,82,9,3,0,3,4,3,1,2,15,76
113,113,9,1,0,3,3,1,1,0,21,76
140,140,9,4,0,1,0,2,1,1,15,140
28,28,9,3,1,1,4,0,0,3,78,28
57,57,9,4,1,3,4,3,1,4,78,80
78,78,9,5,1,3,2,3,1,1,78,124
80,80,9,4,1,1,1,1,1,0,78,80
124,124,9,4,1,2,2,0,1,1,124,78
11,11,10,2,0,3,2,2,0,3,65,90
26,26,10,4,0,1,3,2,1,3,26,104
61,61,10,4,0,2,4,1,1,2,74,104
65,65,10,2,0,0,3,1,0,1,104,104
74,74,10,4,0,1,3,3,0,1,65,90
90,90,10,5,0,2,3,0,0,4,104,26
104,104,10,1,0,2,0,2,0,2,65,26
130,130,10,4,0,0,4,3,0,2,104,74
25,25,10,5,1,2,4,4,0,1,73,143
