,id,previous_class_int,color_int,gender_int,reading_int,hobby_int,language_int,introverted_int,siblings,friend1,friend2
1,1,0,0,0,0,0,0,0,0,289,218
4,4,0,1,0,1,1,1,0,3,1,233
8,8,0,0,0,2,0,2,1,3,52,8
52,52,0,2,0,2,2,0,0,4,163,8
118,118,0,3,0,3,3,0,1,3,52,218
129,129,0,0,0,0,1,3,1,1,118,207
149,149,0,2,0,2,2,3,1,2,155,52
155,155,0,3,0,2,2,4,1,0,8,289
156,156,0,0,0,2,2,4,0,0,249,289
163,163,0,3,0,0,4,3,1,0,273,149
188,188,0,0,0,2,0,4,0,2,249,149
207,207,0,4,0,0,1,2,0,4,289,233
218,218,0,0,0,3,2,3,1,3,155,218
233,233,0,0,0,2,3,1,0,3,233,1
249,249,0,1,0,0,1,2,0,3,233,8
273,273,0,4,0,0,4,4,0,2,218,149
289,289,0,0,0,3,0,0,1,4,233,289
37,37,0,5,1,0,0,1,1,0,258,258
75,75,0,1,1,0,4,1,1,2,278,98
98,98,0,4,1,3,4,2,1,4,258,265
186,186,0,2,1,3,1,3,0,4,278,265
216,216,0,2,1,0,3,0,0,2,75,98
258,258,0,5,1,2,2,1,0,0,37,258
261,261,0,3,1,1,2,4,1,4,75,278
265,265,0,4,1,1,0,3,1,1,37,186
278,278,0,4,1,0,1,3,0,1,278,278
17,17,1,2,0,0,4,4,0,3,84,82
20,20,1,2,0,2,4,4,1,0,47,252
36,36,1,1,0,1,3,2,1,1,83,114
47,47,1,4,0,1,3,2,1,4,292,182
82,82,1,0,0,3,2,1,1,1,292,147
83,83,1,0,0,3,3,2,1,2,105,114
84,84,1,5,0,2,3,3,0,4,84,230
104,104,1,1,0,0,3,4,0,1,104,271
105,105,1,5,0,1,0,4,1,0,182,104
109,109,1,3,0,0,2,3,1,2,292,147
113,113,1,1,0,1,1,4,1,4,47,201
114,114,1,3,0,1,3,3,0,4,147,84
137,137,1,4,0,1,4,2,0,2,105,292
147,147,1,1,0,1,1,3,1,4,230,292
176,176,1,4,0,1,0,2,1,3,292,20
182,182,1,4,0,1,3,1,1,3,176,84
201,201,1,2,0,3,0,0,0,4,114,113
202,202,1,0,0,0,0,0,0,1,20,201
230,230,1,0,0,3,2,0,1,0,201,176
252,252,1,5,0,3,0,2,0,2,114,292
257,257,1,1,0,1,1,2,0,0,271,105
266,266,1,1,0,3,0,2,0,3,83,266
271,271,1,5,0,1,2,1,1,0,105,84
292,292,1,0,0,3,4,3,1,3,230,17
10,10,1,3,1,3,0,0,0,0,195,287
35,35,1,2,1,3,3,2,0,1,86,157
86,86,1,3,1,2,4,0,0,1,291,291
95,95,1,1,1,3,1,4,1,2,229,86
154,154,1,5,1,3,0,1,0,2,287,192
157,157,1,2,1,1,3,3,1,1,195,86
192,192,1,5,1,1,1,4,0,2,86,229
195,195,1,2,1,1,1,0,0,4,195,154
220,220,1,5,1,2,0,2,0,1,35,220
229,229,1,5,1,1,0,3,1,2,86,288
239,239,1,3,1,0,3,4,0,2,298,154
243,243,1,0,1,3,3,4,1,4,154,157
270,270,1,2,1,3,0,3,0,0,195,287
281,281,1,4,1,2,1,4,1,1,86,195
287,287,1,0,1,0,2,1,1,3,35,298
288,288,1,0,1,0,0,1,1,4,86,229
291,291,1,1,1,3,3,2,0,1,270,154
298,298,1,5,1,0,0,2,1,1,288,95
12,12,2,4,0,0,1,4,1,3,55,295
55,55,2,4,0,1,2,0,0,4,284,284
91,91,2,3,0,3,0,0,1,3,153,107
107,107,2,1,0,2,3,0,1,3,108,217
108,108,2,5,0,0,3,3,0,2,108,108
123,123,2,4,0,3,2,1,1,1,107,295
153,153,2,5,0,2,0,2,1,0,153,284
179,179,2,2,0,0,4,0,1,1,108,295
196,196,2,5,0,1,2,2,1,4,217,107
217,217,2,1,0,3,0,2,1,1,108,123
283,283,2,5,0,1,0,1,0,3,179,108
284,284,2,5,0,0,1,3,1,3,153,295
295,295,2,0,0,2,1,2,1,4,217,295
5,5,2,0,1,1,4,3,1,4,236,167
14,14,2,0,1,2,3,4,1,3,14,167
24,24,2,1,1,0,0,2,1,4,224,262
66,66,2,3,1,2,0,0,0,4,236,5
78,78,2,3,1,3,4,0,0,1,224,224
79,79,2,5,1,3,0,0,0,1,5,5
99,99,2,2,1,0,4,1,0,3,167,236
134,134,2,2,1,1,3,1,0,4,5,262
142,142,2,2,1,1,1,4,0,3,275,79
167,167,2,5,1,1,0,0,1,3,294,224
206,206,2,0,1,1,2,0,0,3,5,66
224,224,2,4,1,2,1,4,1,3,134,134
236,236,2,3,1,3,2,1,1,1,262,206
262,262,2,2,1,0,0,0,1,0,14,275
275,275,2,1,1,3,4,3,0,1,206,24
294,294,2,1,1,2,1,1,0,3,134,236
6,6,3,3,0,2,1,4,0,2,40,40
40,40,3,0,0,0,3,3,1,2,231,231
53,53,3,0,0,2,2,4,1,4,112,6
111,111,3,4,0,1,0,3,1,2,112,40
112,112,3,4,0,0,3,4,1,1,111,112
197,197,3,5,0,0,4,0,0,2,197,53
227,227,3,4,0,1,1,0,0,1,40,231
231,231,3,1,0,0,1,4,1,3,40,231
232,232,3,0,0,3,3,2,0,3,53,112
299,299,3,3,0,0,2,1,0,1,197,232
2,2,3,0,1,1,2,1,1,1,247,26
26,26,3,4,1,0,1,2,0,3,228,117
30,30,3,4,1,3,0,0,0,1,2,133
49,49,3,5,1,0,1,0,0,2,228,2
59,59,3,4,1,2,3,0,0,1,117,117
64,64,3,1,1,3,3,1,1,1,26,133
117,117,3,5,1,1,2,0,1,0,49,117
133,133,3,2,1,3,2,0,1,4,138,2
138,138,3,1,1,3,4,4,0,3,117,117
145,145,3,1,1,3,0,3,0,2,2,30
174,174,3,0,1,2,0,1,0,2,26,30
223,223,3,4,1,3,3,3,1,2,247,26
228,228,3,1,1,2,1,3,0,0,117,2
247,247,3,5,1,2,4,4,0,3,228,117
131,131,4,1,0,1,0,2,0,2,240,191
191,191,4,1,0,0,3,4,0,0,279,225
204,204,4,0,0,2,2,3,0,2,191,256
225,225,4,3,0,2,2,4,1,2,256,256
240,240,4,2,0,0,2,3,0,2,225,279
256,256,4,0,0,3,0,4,0,2,256,225
259,259,4,0,0,1,2,0,0,2,279,191
279,279,4,1,0,0,1,3,0,2,240,131
23,23,4,3,1,1,1,3,0,0,221,161
93,93,4,5,1,0,3,1,1,4,161,161
128,128,4,3,1,0,4,4,0,0,161,128
161,161,4,2,1,2,4,0,1,1,184,128
184,184,4,2,1,0,1,1,1,2,221,184
210,210,4,3,1,0,3,3,0,2,184,210
221,221,4,0,1,1,3,2,1,0,161,246
246,246,4,1,1,0,3,1,1,4,246,161
282,282,4,4,1,0,0,1,1,1,161,23
15,15,5,3,0,1,1,3,1,0,115,241
18,18,5,5,0,3,2,4,1,0,260,62
21,21,5,4,0,2,1,4,0,0,21,152
29,29,5,5,0,2,2,0,1,1,62,115
62,62,5,1,0,1,2,4,0,4,88,88
73,73,5,1,0,0,3,0,1,0,152,21
88,88,5,3,0,0,0,3,1,1,241,274
115,115,5,1,0,3,2,0,1,2,268,88
